SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-28-2020,Single Family Residential,1623 Wildhorse Parkway Dr,Wildwood,MO,63005,649900,5,5.5,Wildhorse Village,4966,23087,1993,,131,66,Sold,,,https://www.redfin.com/MO/Wildwood/1623-Wildhorse-Parkway-Dr-63005/home/62715260,MARIS,20054228,N,Y,38.6385013,-90.6436101
PAST SALE,December-9-2022,Single Family Residential,1001 Savonne Ct,Chesterfield,MO,63005,1250000,5,4.5,Miramonte,6220,48352,2005,,201,92,Sold,,,https://www.redfin.com/MO/Chesterfield/1001-Savonne-Ct-63005/home/62767830,MARIS,22066636,N,Y,38.6509392,-90.6426658
PAST SALE,February-1-2023,Single Family Residential,1053 Keystone Trail Dr,Wildwood,MO,63005,629900,5,3.5,Wildhorse Village K,3492,24829,1995,,180,,Sold,,,https://www.redfin.com/MO/Wildwood/1053-Keystone-Trail-Dr-63005/home/93485398,MARIS,22076388,N,Y,38.6447692,-90.647332
PAST SALE,May-15-2019,Single Family Residential,1182 Keystone Trail Dr,Wildwood,MO,63005,619900,5,4.5,Wilderness Trails,3000,21780,1997,,207,23,Sold,,,https://www.redfin.com/MO/Wildwood/1182-Keystone-Trail-Dr-63005/home/93485958,MARIS,19014767,N,Y,38.6398328,-90.6510357
PAST SALE,July-10-2019,Single Family Residential,185 Fick Farm Rd,Chesterfield,MO,63005,799000,4,4.5,Riverscene Estates Lt 2 & Livergood Lt,5205,59677,1995,,154,,Sold,,,https://www.redfin.com/MO/Chesterfield/185-Fick-Farm-Rd-63005/home/93477322,MARIS,19031572,N,Y,38.6491294,-90.6588146
PAST SALE,May-1-2023,Single Family Residential,612 Babler Park Dr,Wildwood,MO,63005,627000,4,2.5,Wildwood,2931,51314,1953,,214,,Sold,,,https://www.redfin.com/MO/Wildwood/612-Babler-Park-Dr-63005/home/62743583,MARIS,23015466,N,Y,38.6334453,-90.6653054
PAST SALE,May-6-2021,Single Family Residential,1169 Greystone Mnr,Chesterfield,MO,63005,1335000,7,5.5,Greystone Six,7189,44867,1998,,186,50,Sold,,,https://www.redfin.com/MO/Chesterfield/1169-Greystone-Manor-Pkwy-63005/home/93485517,MARIS,21010365,N,Y,38.6444601,-90.6430517
PAST SALE,March-14-2019,Single Family Residential,1110 Keystone Trail Dr,Wildwood,MO,63005,550000,4,3.5,Wilderness at Wildhorse,2850,22216,1996,,193,61,Sold,,,https://www.redfin.com/MO/Wildwood/1110-Keystone-Trail-Dr-63005/home/93485488,MARIS,19001075,N,Y,38.642048,-90.646795
PAST SALE,March-10-2021,Single Family Residential,81 Grand Meridien,Wildwood,MO,63005,1200000,5,6.0,Meridien,5700,90169,2013,,211,125,Sold,,,https://www.redfin.com/MO/Wildwood/81-Grand-Meridien-Ct-63005/home/173913713,MARIS,21000908,N,Y,38.633211,-90.6512198
PAST SALE,July-31-2019,Single Family Residential,17802 Keystone Trail Ct,Wildwood,MO,63005,519900,5,3.5,Wildhorse Village K,3378,22216,1996,,154,67,Sold,,,https://www.redfin.com/MO/Wildwood/17802-Keystone-Trail-Ct-63005/home/93485490,MARIS,19039602,N,Y,38.6421252,-90.6476468
PAST SALE,March-13-2023,Single Family Residential,1007 Keystone Trail Dr,Wildwood,MO,63005,635000,4,2.5,Wildhorse Village,2800,30056,1996,,227,83,Sold,,,https://www.redfin.com/MO/Wildwood/1007-Keystone-Trail-Dr-63005/home/62739162,MARIS,23000817,N,Y,38.647775,-90.6482394
PAST SALE,December-9-2021,Single Family Residential,18242 Canyon Forest Ct,Chesterfield,MO,63005,1675000,4,4.5,Estates at Wildhorse Canyon,7235,60723,2007,,232,175,Sold,,,https://www.redfin.com/MO/Chesterfield/18242-Canyon-Forest-Ct-63005/home/62699175,MARIS,21072700,N,Y,38.6457488,-90.6626675
PAST SALE,September-7-2022,Single Family Residential,554 Eatherton Rd,Wildwood,MO,63005,329900,2,1.0,Wildwood,1586,25091,1880,,208,,Sold,,,https://www.redfin.com/MO/Wildwood/554-Eatherton-Rd-63005/home/93321919,MARIS,22045142,N,Y,38.636034,-90.6600186
PAST SALE,October-1-2019,Single Family Residential,400 Eatherton Valley Rd,Wildwood,MO,63005,539000,4,4.0,Eatherton Valley,3700,157252,2000,,146,33,Sold,,,https://www.redfin.com/MO/Wildwood/400-Eatherton-Valley-Rd-63005/home/93485668,MARIS,19059215,N,Y,38.6422703,-90.6583885
PAST SALE,June-28-2021,Single Family Residential,1116 Keystone Trail Dr,Wildwood,MO,63005,560000,3,3.5,Wildhorse Village,4056,22216,1996,,138,67,Sold,,,https://www.redfin.com/MO/Wildwood/1116-Keystone-Trail-Dr-63005/home/93484946,MARIS,21027039,N,Y,38.6417661,-90.6471974
PAST SALE,June-15-2021,Single Family Residential,215 Tuma Ln,Chesterfield,MO,63005,695000,4,4.5,Tuma Manor,3918,153767,1984,,177,,Sold,,,https://www.redfin.com/MO/Chesterfield/215-Tuma-Ln-63005/home/93477409,MARIS,21018297,N,Y,38.6495071,-90.6502963
PAST SALE,December-14-2020,Single Family Residential,17821 Wilderness Clf,Wildwood,MO,63005,519900,4,4.5,Wilderness Trails,3650,17860,1996,,142,,Sold,,,https://www.redfin.com/MO/Wildwood/17821-Wilderness-Cliff-Ct-63005/home/93485701,MARIS,20074233,N,Y,38.6420532,-90.6495542
PAST SALE,September-22-2021,Single Family Residential,347 Pine Bend Dr,Chesterfield,MO,63005,943000,5,4.5,Pine Creek,5933,25962,1996,,159,42,Sold,,,https://www.redfin.com/MO/Wildwood/347-Pine-Bend-Dr-63005/home/93485605,MARIS,21047043,N,Y,38.6423489,-90.6553324
PAST SALE,August-21-2020,Single Family Residential,320 Pine Bend Dr,Wildwood,MO,63005,849000,5,4.5,Pine Creek,5125,26136,1995,,166,42,Sold,,,https://www.redfin.com/MO/Wildwood/320-Pine-Bend-Dr-63005/home/93485613,MARIS,20033402,N,Y,38.6449041,-90.65624
PAST SALE,October-15-2020,Single Family Residential,454 Pine Bend Dr,Wildwood,MO,63005,795000,4,4.5,Pine Creek,4821,30056,1996,,165,,Sold,,,https://www.redfin.com/MO/Wildwood/454-Pine-Bend-Dr-63005/home/93485928,MARIS,20047459,N,Y,38.6408716,-90.6557769
PAST SALE,December-16-2021,Single Family Residential,18239 Canyon Forest Ct,Chesterfield,MO,63005,1550000,6,5.5,Estates At Wildhorse Canyon,6558,44562,2010,,236,175,Sold,,,https://www.redfin.com/MO/Chesterfield/18239-Canyon-Forest-Ct-63005/home/93327511,MARIS,21054597,N,Y,38.6462424,-90.662297
PAST SALE,August-15-2019,Single Family Residential,17724 Birch Leaf Ct,Wildwood,MO,63005,625000,6,4.5,Wildhorse Village J,5127,23958,1990,,122,,Sold,,,https://www.redfin.com/MO/Wildwood/17724-Birch-Leaf-Ct-63005/home/93485233,MARIS,19050717,N,Y,38.6406736,-90.643425
PAST SALE,August-21-2020,Single Family Residential,17727 Birch Leaf Ct,Wildwood,MO,63005,525000,4,3.5,Wildhorse Village J Record Two,3078,24829,1990,,171,67,Sold,,,https://www.redfin.com/MO/Wildwood/17727-Birch-Leaf-Ct-63005/home/93485237,MARIS,20034036,N,Y,38.6411071,-90.642814
PAST SALE,June-21-2021,Single Family Residential,1651 Wildhorse Pkwy,Wildwood,MO,63005,649500,6,3.5,Wildhorse Village,4304,,1994,,151,67,Sold,,,https://www.redfin.com/MO/Wildwood/1651-Wildhorse-Parkway-Dr-63005/home/62754764,MARIS,21015933,N,Y,38.6399446,-90.6456284
PAST SALE,March-20-2020,Single Family Residential,18746 Bonhomme Creek Rd,Wildwood,MO,63005,749900,4,4.5,Eatherton Valley Lt 18 Bdy Adj Prcl A,5361,205168,1990,,140,33,Sold,,,https://www.redfin.com/MO/Wildwood/18746-Bonhomme-Creek-Rd-63005/home/75239864,MARIS,20007590,N,Y,38.6382285,-90.6595555
PAST SALE,June-28-2019,Single Family Residential,18019 Tara Oaks Ct,Chesterfield,MO,63005,974000,4,4.5,Tara at Wildhorse,5856,23087,2001,,166,63,Sold,,,https://www.redfin.com/MO/Chesterfield/18019-Tara-Oaks-Ct-63005/home/79923804,MARIS,19035438,N,Y,38.6510008,-90.6463691
PAST SALE,August-21-2020,Single Family Residential,1101 Wilderness Bluff Ct,Wildwood,MO,63005,550000,4,4.0,Wilderness Trails,3658,19166,1997,,150,21,Sold,,,https://www.redfin.com/MO/Wildwood/1101-Wilderness-Bluff-Ct-63005/home/93485501,MARIS,20045277,N,Y,38.6428766,-90.6488134
PAST SALE,August-31-2021,Single Family Residential,409 Pine Bnd,Wildwood,MO,63005,875000,5,4.5,Pine Creek,5348,23522,1999,,164,42,Sold,,,https://www.redfin.com/MO/Wildwood/409-Pine-Bend-Dr-63005/home/93485992,MARIS,21045078,N,Y,38.639328,-90.6534062
PAST SALE,December-5-2022,Single Family Residential,311 Cys Ln,Wildwood,MO,63005,295000,3,1.0,US Surv 163,1352,43560,1969,,218,,Sold,,,https://www.redfin.com/MO/Wildwood/311-Cys-Ln-63005/home/62725788,MARIS,22060495,N,Y,38.6426961,-90.6700225
PAST SALE,December-5-2022,Single Family Residential,312 Cys Ln,Wildwood,MO,63005,355000,2,1.0,Wildwood,1250,65340,1938,,284,,Sold,,,https://www.redfin.com/MO/Wildwood/312-Cys-Ln-63005/home/93485638,MARIS,22060496,N,Y,38.6427808,-90.6695407
PAST SALE,September-7-2021,Single Family Residential,200 Valley View Dr,Chesterfield,MO,63005,450000,2,1.0,Valley View,956,159560,1965,,471,,Sold,,,https://www.redfin.com/MO/Chesterfield/200-Valley-View-Dr-63005/home/93485647,MARIS,21046261,N,Y,38.6486329,-90.6705413
PAST SALE,March-25-2020,Single Family Residential,18222 Hager Ln,Chesterfield,MO,63005,659900,5,3.0,Wildhorse Creek Forest,3269,134165,1987,,202,67,Sold,,,https://www.redfin.com/MO/Chesterfield/18222-Hager-Ln-63005/home/62687567,MARIS,19087173,N,Y,38.648949,-90.6653907
PAST SALE,June-19-2019,Single Family Residential,17901 Greyeagle Ct,Chesterfield,MO,63005,1295000,5,5.5,Greystone,7003,44431,1997,,185,46,Sold,,,https://www.redfin.com/MO/Chesterfield/17901-Greyeagle-Ct-63005/home/62741413,MARIS,19031017,N,Y,38.6461622,-90.6435731
PAST SALE,August-6-2020,Single Family Residential,10 Wild Horse Way,Chesterfield,MO,63005,649900,4,3.5,Wildhorse Creek Forest Lts 15 Thru 17,3104,143748,1987,,209,,Sold,,,https://www.redfin.com/MO/Chesterfield/10-Wild-Horse-Way-63005/home/93485640,MARIS,20041267,N,Y,38.6474403,-90.6677806
PAST SALE,April-29-2021,Single Family Residential,194 Fick Farm Rd,Chesterfield,MO,63005,750000,4,3.5,Riverscene Estates,4843,130680,1999,,155,29,Sold,,,https://www.redfin.com/MO/Chesterfield/194-Fick-Farm-Rd-63005/home/62740021,MARIS,21012481,N,Y,38.6504398,-90.6588886
PAST SALE,June-25-2018,Single Family Residential,1030 Keystone Trail Dr,Wildwood,MO,63005,509000,5,3.5,Wilderness at Wildhorse,2770,25265,1993,,184,67,Sold,,,https://www.redfin.com/MO/Wildwood/1030-Keystone-Trail-Dr-63005/home/62757250,MARIS,18020596,N,Y,38.645979,-90.6470913
PAST SALE,April-22-2020,Single Family Residential,18017 Tara Woods Ct,Chesterfield,MO,63005,825000,4,4.5,Tara At Wildhorse,4929,23522,2000,,167,63,Sold,,,https://www.redfin.com/MO/Chesterfield/18017-Tara-Woods-Ct-63005/home/92186519,MARIS,20000131,N,Y,38.6520609,-90.6472579
PAST SALE,April-3-2020,Single Family Residential,18304 Wild Horse Creek Rd,Wildwood,MO,63005,350000,3,2.5,Gerst Acres,2710,128938,1952,,129,,Sold,,,https://www.redfin.com/MO/Wildwood/18304-Wild-Horse-Creek-Rd-63005/home/93627213,MARIS,20005755,N,Y,38.6437499,-90.6646738
PAST SALE,July-1-2022,Single Family Residential,17715 Birch Leaf Ct,Wildwood,MO,63005,680000,4,3.5,Wildhorse Village J Record Two,3400,25265,,,200,,Sold,,,https://www.redfin.com/MO/Wildwood/17715-Birch-Leaf-Ct-63005/home/93485240,MARIS,22024275,N,Y,38.6400436,-90.6425177
PAST SALE,November-17-2020,Single Family Residential,982 Tara Oaks Dr,Chesterfield,MO,63005,1275000,5,4.0,Tara At Wildhorse,7288,28750,2000,,175,63,Sold,,,https://www.redfin.com/MO/Chesterfield/982-Tara-Oaks-Dr-63005/home/93626988,MARIS,20047041,N,Y,38.6523156,-90.6449666
PAST SALE,March-11-2021,Single Family Residential,304 Pine Bend Dr,Wildwood,MO,63005,820000,5,4.5,Pine Creek,4996,27443,2001,,164,42,Sold,,,https://www.redfin.com/MO/Wildwood/304-Pine-Bend-Dr-63005/home/62744480,MARIS,21001196,N,Y,38.6462582,-90.6558325
PAST SALE,January-14-2022,Single Family Residential,1009 Savonne Ct,Chesterfield,MO,63005,1430000,5,5.5,Miramonte,6117,44867,2000,,234,100,Sold,,,https://www.redfin.com/MO/Chesterfield/1009-Savonne-Ct-63005/home/93626999,MARIS,21068157,N,Y,38.6506132,-90.6423696
PAST SALE,December-20-2021,Single Family Residential,1161 Greystone Manor Pkwy,Chesterfield,MO,63005,1350000,5,4.5,Greystone Six,7813,47045,1998,,173,,Sold,,,https://www.redfin.com/MO/Chesterfield/1161-Greystone-Manor-Pkwy-63005/home/93627220,MARIS,21065754,N,Y,38.6456928,-90.6432583
PAST SALE,August-15-2018,Single Family Residential,243 Fick Farm Rd,Chesterfield,MO,63005,825000,5,4.5,Wild Horse Heights,4000,130680,1994,,206,,Sold,,,https://www.redfin.com/MO/Chesterfield/243-Fick-Farm-Rd-63005/home/93477408,MARIS,18032202,N,Y,38.650498,-90.65325
PAST SALE,February-8-2021,Single Family Residential,438 Pine Bend Dr,Wildwood,MO,63005,810000,4,4.5,Pine Creek,5034,47045,1998,,161,42,Sold,,,https://www.redfin.com/MO/Wildwood/438-Pine-Bend-Dr-63005/home/93485924,MARIS,20069681,N,Y,38.639314,-90.6559251
PAST SALE,June-27-2019,Single Family Residential,1054 Keystone Trail Dr,Wildwood,MO,63005,525000,5,3.0,Wildhorse Village,3695,22216,1996,,142,67,Sold,,,https://www.redfin.com/MO/Wildwood/1054-Keystone-Trail-Dr-63005/home/93485479,MARIS,19000384,N,Y,38.6447729,-90.6466654
PAST SALE,March-26-2020,Single Family Residential,466 Pine Bend Dr,Wildwood,MO,63005,915000,5,4.5,Pine Creek,5458,46174,1998,,168,42,Sold,,,https://www.redfin.com/MO/Wildwood/466-Pine-Bend-Dr-63005/home/79110542,MARIS,19083516,N,Y,38.6417687,-90.6565178
PAST SALE,August-22-2022,Single Family Residential,15 Wild Horse Way,Chesterfield,MO,63005,845000,4,4.5,Wildhorse Creek Forest Lts 15 Thru 17,5320,146797,2002,,159,67,Sold,,,https://www.redfin.com/MO/Chesterfield/15-Wild-Horse-Way-63005/home/93485642,MARIS,22032153,N,Y,38.6470285,-90.6681512
PAST SALE,November-20-2020,Single Family Residential,310 Steeple Ln,Wildwood,MO,63005,475000,5,2.5,Steeple Hill,3290,135036,1979,,144,40,Sold,,,https://www.redfin.com/MO/Wildwood/310-Steeple-Ln-63005/home/93476922,MARIS,20053474,N,Y,38.6487926,-90.6457025
PAST SALE,June-25-2020,Single Family Residential,442 Pine Bnd,Wildwood,MO,63005,879000,4,4.5,Pine Creek,5440,48787,1997,,162,500,Sold,,,https://www.redfin.com/MO/Wildwood/442-Pine-Bend-Dr-63005/home/93485925,MARIS,20015805,N,Y,38.6397228,-90.6560733
PAST SALE,June-24-2022,Single Family Residential,526 Eatherton Rd,Wildwood,MO,63005,995000,5,2.5,Old Orrville Bdy Adj,3460,245678,1850,,288,,Sold,,,https://www.redfin.com/MO/Wildwood/526-Eatherton-Rd-63005/home/143038693,MARIS,22000531,N,Y,38.6371373,-90.6605372
PAST SALE,May-6-2020,Single Family Residential,233 Valley Vw,Chesterfield,MO,63005,369900,3,2.5,28875,2636,134165,1959,,140,,Sold,,,https://www.redfin.com/MO/Chesterfield/233-Valley-View-Dr-63005/home/146494709,MARIS,20008766,N,Y,38.6460173,-90.6708622
PAST SALE,November-6-2020,Single Family Residential,309 Wardenburg Farms Dr,Wildwood,MO,63005,2895000,6,8.0,Wardenburg Farms,10189,131508,2008,,284,,Sold,,,https://www.redfin.com/MO/Wildwood/309-Wardenburg-Farms-Dr-63005/home/93328807,MARIS,20038802,N,Y,38.6458599,-90.6525128
PAST SALE,August-28-2019,Single Family Residential,1616 Wildhorse Pkwy,Wildwood,MO,63005,575000,5,4.5,Wildhorse Village J Record Two,4920,27878,1994,,117,72,Sold,,,https://www.redfin.com/MO/Wildwood/1616-Wildhorse-Parkway-Dr-63005/home/93485182,MARIS,19025889,N,Y,38.6384044,-90.6425918
